บาง	b-aa-ng^-0|
สุไหง	s-u-z^-1|ng-a-j^-4|
บาตู	b-aa-z^-0|t-uu-z^-0|
หนึบ	n-v-p^-1|
ส่งแอ๋	s-o-ng^-1|z-xx-z^-4|
เรียนราม	r-iia-n^-0|r-aa-m^-0|
ยัก	j-a-k^-3|
แจก	c-xx-k^-1|
ถิรวัฒน์	th-i-z^-1|r-a-z^-3|w-a-t^-3|
สุเกียรติ	s-u-z^-1|k-iia-t^-1|
ปราด	pr-aa-t^-1|
เปรื่อง	pr-vva-ng^-1|
ฉะ	ch-a-z^-1|
ฉาน	ch-aa-n^-4|
จริต	c-a-z^-0|r-i-t^-1|
มารยา	m-aa-n^-0|j-aa-z^-0|
ชาน	ch-aa-n^-0|
คีท	kh-ii-t^-2|
อัมเตอร์ดรัม	z-a-m^-0|t-qq-z^-0|dr-a-m^-0|
เดอะไทม์ส	d-q-z^-1|th-aa-m^-0|
กรอง	kr-@@-ng^-0|
พรีเมียร์ออยล์	phr-ii-z^-0|m-iia-z^-1|z-@@-j^-0|
อูเครียนา	z-uu-z^-0|khr-iia-z^-0|n-aa-z^-2|
ลีเยฟ	l-ii-z^-0|j-ee-f^-2|
ปิณจีเสคิกุล	p-i-n^-0|c-ii-z^-0|s-ee-z^-4|kh-i-z^-3|k-u-n^-0|
อ๊อป	z-@@-p^-3|
คอสโม	kh-@@-s^-3|m-oo-z^-2|
บ่อหรี่	b-@@-z^-1|r-ii-z^-1|
ฮอด	h-@@-t^-2|
อินไซเดอร์	z-i-n^-0|s-a-j^-0|d-qq-z^-2|
เตร็ดเตร่	tr-e-t^-1|tr-ee-z^-1|
ประเวณี	pr-a-z^-1|w-ee-z^-0|n-ii-z^-0|
คลองหลอด	khl-@@-ng^-0|l-@@-t^-1|
เหล่าพรวน	l-a-w^-1|phr-uua-n^-0|
อำนาจเจริญ	z-a-m^-0|n-aa-t^-2|c-a-z^-1|r-qq-n^-0|
เวาะลัน	w-@-z^-3|l-a-n^-0|
สมพิศ	s-o-m^-4|ph-i-t^-3|
สัมภาวนะ	s-a-m^-4|ph-aa-z^-0|w-a-z^-3|n-a-z^-3|
ประพัฒน์	pr-a-z^-1|ph-a-t^-3|
ปัญญาชาติรักษ์	p-a-n^-0|j-aa-z^-0|ch-aa-t^-2|r-a-k^-3|
แซ่ฉั่ว	s-xx-z^-2|ch-uua-z^-1|
ก้านยาว	k-aa-n^-2|j-aa-w^-0|
ตุลา	t-u-z^-1|l-aa-z^-0|
เปลี้ย	pl-iia-z^-2|
เพลีย	phl-iia-z^-0|
วอน	w-@@-n^-0|
สะดุด	s-a-z^-1|d-u-t^-1|
กันดา	k-a-n^-0|d-aa-z^-0|
พลชัย	ph-o-n^-0|l-a-z^-3|ch-a-j^-0|
ตุ่ม	t-u-m^-1|
ชวลิต	ch-a-z^-0|w-a-z^-0|l-i-t^-3|
มหาจันทร์	m-a-z^-3|h-aa-z^-4|c-a-n^-0|
ชัยภูมิ	ch-a-j^-0|j-a-z^-3|ph-uu-m^-0|
กระจับ	kr-a-z^-1|c-a-p^-1|
กระแห	kr-a-z^-1|h-xx-z^-4|
ตะเพียนทอง	t-a-z^-1|ph-iia-n^-0|th-@@-ng^-0|
ตะพาก	t-a-z^-1|ph-aa-k^-2|
ยี่สก	j-ii-z^-2|s-o-k^-1|
เนื้ออ่อน	n-vva-z^-3|z-@@-n^-1|
แคล้ว	khl-xx-w^-3|
คลาด	khl-aa-t^-2|
ภยันตราย	ph-a-z^-3|j-a-n^-0|t-a-z^-1|r-aa-j^-0|
โป่ง	p-oo-ng^-1|
ข่าม	kh-aa-m^-1|
จีราพรรณ์	c-ii-z^-0|r-aa-z^-0|ph-a-n^-0|
กฤษฎา	kr-i-t^-1|s-a-z^-1|d-aa-z^-0|
สุโกศล	s-u-z^-1|k-oo-z^-0|s-o-n^-4|
แคลปป์	khl-xx-p^-0|
คาแร็กเตอร์	kh-aa-z^-0|r-x-k^-3|t-qq-z^-0|
ธิดา	th-i-z^-3|d-aa-z^-0|
มกุฎ	m-a-z^-3|k-u-t^-1|
กุมาร	k-u-z^-1|m-aa-n^-0|
นารุฮิโตะ	n-aa-z^-0|r-u-z^-3|h-i-z^-3|t-o-z^-1|
เจ้าหญิง	c-a-w^-2|j-i-ng^-4|
มาซาโกะ	m-aa-z^-0|s-aa-z^-0|k-o-z^-1|
ลันตา	l-a-n^-0|t-aa-z^-0|
ไดรเวอร์	dr-a-j^-0|w-qq-z^-2|
วาฬ	w-aa-n^-0|
โอบ	z-oo-p^-1|
อนุรักษ์	z-a-z^-1|n-u-z^-3|r-a-k^-3|
จินตหรา	c-i-n^-0|t-a-z^-1|r-aa-z^-4|
สุขพัฒน์	s-u-z^-1|kh-a-z^-1|ph-a-t^-3|
รัญญา	r-a-n^-0|j-aa-z^-0|
แฝด	f-xx-t^-1|
สะท้าน	s-a-z^-1|th-aa-n^-3|
โลกันตร์	l-oo-z^-0|k-a-n^-0|
มิสซิสเยส	m-i-s^-3|s-i-s^-3|j-qq-t^-2|
ฝุ่นข่มขู่	f-u-n^-1|kh-o-m^-1|kh-uu-z^-1|
ตะเข้	t-a-z^-1|kh-ee-z^-2|
ตัณหา	t-a-n^-0|h-aa-z^-4|
ราคะ	r-aa-z^-0|kh-a-z^-3|
จอ	c-@@-z^-0|
ทีวี	th-ii-z^-0|w-ii-z^-0|
กั้ว	k-uua-z^-2|
ฉา	ch-aa-z^-4|
ลู้ก้ง	l-uu-z^-3|k-o-ng^-2|
กู๋	k-uu-z^-4|
จ้อ	c-@@-z^-2|
เซีย	s-iia-z^-0|
เฟรชมิลค์	fr-ee-ch^-2|m-i-l^-0|
แดรี่	d-xx-z^-0|r-ii-z^-2|
บรั่นดี	b-a-z^-0|r-a-n^-1|d-ii-z^-0|
แมง	m-xx-ng^-0|
แด็ก	d-x-k^-3|
กรู	kr-uu-z^-0|
แฟ้ม	f-xx-m^-3|
แอช	z-xx-ch^-3|
ครอฟ	khr-@@-f^-3|
มิก	m-i-k^-3|
ฟูจิตซึ	f-uu-z^-0|c-i-t^-1|s-v-z^-3|
ฮาร์ดดิสไดรฟ์	h-aa-t^-3|d-i-s^-3|dr-a-j^-3|
สุภรี	s-u-p^-1|ph-a-z^-3|r-ii-z^-0|
เล็งเห็น	l-e-ng^-0|h-e-n^-3|
ข้อรบกวน	kh-@@-z^-2|r-o-p^-3|k-uua-n^-0|
พึ่ง	ph-v-ng^-2|
ปกครอง	p-o-k^-1|khr-@@-ng^-0|
เฉดหัว	ch-ee-t^-1|h-uua-z^-4|
สฤต	s-a-z^-0|l-i-t^-1|
ดีส	d-ii-s^-3|
มอร์นิง	m-@@-z^-0|n-i-ng^-2|
กล่าวถึง	kl-aa-w^-1|th-v-ng^-4|
แฟรงคลิน	fr-xx-ng^-3|khl-i-n^-0|
ดีลาโน	d-ii-z^-0|l-aa-z^-0|n-oo-z^-2|
ดิสแอบิลิตี้	d-i-s^-3|z-xx-z^-0|b-i-z^-0|l-i-z^-0|t-ii-z^-2|
โฮ	h-oo-z^-0|
ลูกกรง	l-uu-k^-2|kr-o-ng^-0|
ดีใจ	d-ii-z^-0|c-a-j^-0|
ผลีผลาม	phl-ii-z^-4|phl-aa-m^-4|
ก้องหล้า	k-@-ng^-2|l-aa-z^-2|
เลขาสิทธิ์	l-ee-z^-0|kh-aa-z^-4|s-i-t^-1|
เยกอร์	j-ee-z^-0|k-@@-z^-0|
ติตอฟ	t-i-z^-1|t-o-f^-3|
มารัต	m-aa-z^-0|r-a-t^-3|
อิซไมลอฟ	z-i-t^-1|m-a-j^-0|l-@@-f^-3|
อิกอร์	z-i-z^-1|k-@@-z^-0|
เซมชอฟ	s-ee-m^-0|ch-@@-f^-3|
วลาดิเมียร์	w-a-z^-0|l-aa-z^-0|d-i-z^-0|m-iia-z^-0|
เบสชาสต์นิก	b-ee-s^-3|ch-aa-s^-3|n-i-k^-3|
รุสลาน	r-u-s^-3|s-a-z^-0|l-aa-n^-0|
ปิเมนอฟ	p-i-z^-1|m-ee-z^-0|n-o-f^-3|
ชาสต์นิก	ch-aa-s^-3|n-i-k^-3|
เขตโทษ	kh-ee-t^-1|th-oo-t^-2|
มคาเชอร์	m-a-z^-0|kh-aa-z^-0|ch-qq-z^-2|
ตูนิเซีย	t-uu-z^-0|n-i-z^-0|s-iia-z^-0|
หมีขาว	m-ii-z^-4|kh-aa-w^-4|
บูมนิเยล	b-uu-m^-0|n-i-z^-0|j-ee-l^-0|
นายทวาร	n-aa-j^-0|th-a-z^-0|w-aa-n^-0|
กระฉอก	kr-a-z^-1|ch-@@-k^-1|
หัวหอก	h-uua-z^-4|h-@@-k^-1|
ลังกา	l-a-ng^-0|k-aa-z^-0|
โอเกะ	z-oo-z^-0|k-e-z^-1|
เชมซอฟ	ch-ee-m^-0|s-@@-f^-3|
ดิมิทรีโคคลอฟ	d-i-z^-0|m-i-z^-0|th-ii-z^-2|kh-oo-z^-0|kl-@@-f^-3|
รัสเซีย	r-a-s^-3|s-iia-z^-0|
เสียดาย	s-iia-z^-4|d-aa-j^-0|
คอร์นเนอร์	kh-@@-n^-0|n-qq-z^-2|
เฉียด	ch-iia-t^-1|
ซิชยอฟ	s-i-ch^-3|j-@@-f^-3|
เฟอะฟะ	f-q-z^-3|f-a-z^-3|
ฟิโก้	f-i-z^-3|k-oo-z^-2|
บีสลีย์	b-ii-s^-3|l-ii-z^-0|
เปอตีต์	p-qq-z^-0|t-ii-z^-0|
สจ๊วร์ต	s-a-z^-1|c-uua-t^-3|
ก๊วก	k-ua-k^-3|
วาวี	w-aa-z^-0|w-ii-z^-0|
สรวย	s-a-z^-1|r-uua-j^-4|
อนันต์	z-a-z^-1|n-a-n^-0|
ยวนสันเทียะ	j-uua-n^-0|s-a-n^-4|th-ia-z^-0|
แปรปรวน	pr-xx-z^-0|pr-uua-n^-0|
มุ่งมั่น	m-u-ng^-2|m-a-n^-2|
อย่างมาก	j-aa-ng^-1|m-aa-k^-2|
ปลอบ	pl-@@-p^-1|
เวฟ	w-ee-f^-3|
เพลส	phl-ee-s^-3|
เพลินจิต	phl-qq-n^-0|c-i-t^-1|
ลูกโม่	l-uu-k^-2|m-oo-z^-2|
หลุม	l-u-m^-4|
เพลาะ	phl-@-z^-3|
ถุน	th-u-n^-4|
พระธิดา	phr-a-z^-3|th-i-z^-3|d-aa-z^-0|
ไอโกะ	z-a-j^-0|k-o-z^-1|
ประสูติ	pr-a-z^-1|s-uu-t^-1|
พระทัย	phr-a-z^-3|th-a-j^-0|
พระชายา	phr-a-z^-3|ch-aa-z^-0|j-aa-z^-0|
ตื้นตัน	t-vv-n^-2|t-a-n^-0|
โก๊ะ	k-o-z^-3|
ค่ารักษา	kh-aa-z^-2|r-a-k^-3|s-aa-z^-4|
อนาถา	z-a-z^-1|n-aa-z^-0|th-aa-z^-4|
ถูกต้อง	th-uu-k^-1|t-@@-ng^-2|
ผลิตภัณฑ์	ph-a-z^-1|l-i-t^-1|t-a-z^-1|ph-a-n^-0|
สูตร	s-uu-t^-1|
พอนด์สเฟเชียลโฟม	ph-@@-n^-0|f-ee-z^-0|ch-iia-l^-2|f-oo-m^-0|
เพิร์ล	ph-qq-l^-0|
นูเทรียนท์	n-uu-z^-0|thr-iia-n^-2|
พีเอสเซอร์วิส	ph-ii-z^-0|z-ee-s^-3|s-qq-z^-0|w-i-s^-1|
หริภา	r-i-z^-1|ph-aa-z^-0|
เนวิน	n-ee-z^-0|w-i-n^-0|
เฮาส์แบรนด์	h-a-w^-0|br-xx-n^-0|
เซคคัลทิป	s-ee-k^-0|kh-a-l^-0|th-i-p^-3|
โอเอ	z-oo-z^-0|z-ee-z^-0|
ราชปรารภ	r-aa-t^-2|ch-a-z^-3|pr-aa-z^-0|r-o-p^-3|
พญาไท	ph-a-z^-3|j-aa-z^-0|th-a-j^-0|
ดอกเตอร์นิด้า	d-@@-k^-3|t-qq-z^-2|n-i-z^-3|d-aa-z^-2|
บริโภค	b-@@-z^-0|r-i-z^-0|ph-oo-k^-2|
เทวี	th-ee-z^-0|w-ii-z^-0|
โพธิผละ	ph-oo-z^-0|th-i-z^-3|ph-a-z^-0|l-a-z^-1|
ง่อยเปลี้ยเสียขา	ng-@@-j^-2|pl-iia-z^-2|s-iia-z^-4|kh-aa-z^-4|
ปลาบ	pl-aa-p^-1|
พลิกล็อก	phl-i-k^-3|l-@-k^-3|
ฮวนเซ	h-uua-n^-0|s-ee-z^-0|
บาสเตียน	b-aa-t^-3|t-iia-n^-0|
เวรอน	w-ee-z^-0|r-@@-n^-0|
แมนยู	m-xx-n^-0|j-uu-z^-0|
โบลคาบา	bl-oo-z^-0|kh-aa-z^-0|b-aa-z^-2|
เญอโร	j-qq-z^-0|r-oo-z^-0|
วอลเตอร์	w-@@-l^-0|t-qq-z^-2|
ซามูเอล	s-aa-z^-0|m-uu-z^-0|z-ee-l^-0|
ดิเอโก	d-i-z^-1|z-ee-z^-0|k-oo-z^-2|
พลาเซนเต	phl-aa-z^-0|s-ee-n^-0|t-ee-z^-0|
แอชลีย์	z-xx-ch^-3|l-ii-z^-2|
ริโอ	r-i-z^-0|z-oo-z^-2|
เฟอร์ดินานด์	f-qq-z^-0|d-i-z^-0|n-aa-n^-0|
โซล	s-oo-l^-0|
แคมพ์เบลล์	kh-xx-m^-0|b-ee-l^-0|
เอมิล	z-ee-z^-0|m-i-l^-0|
เฮสกีย์	h-ee-s^-3|k-ii-z^-2|
โอเวน	z-oo-z^-0|w-ee-n^-2|
ฮาร์กรีฟส์	h-aa-z^-0|kr-ii-f^-3|
พอลสโคลส์	h-@@-l^-0|s-a-z^-0|kh-oo-l^-0|
เดวิด	d-ee-z^-0|w-i-t^-1|
ออลแบล็ก	z-@@-l^-0|bl-x-k^-3|
ลูซิช	l-uu-z^-0|s-i-ch^-3|
ซีแมน	s-ii-z^-0|m-xx-n^-0|
ชิพ	ch-i-p^-3|
เฟอร์นันโด	f-qq-z^-0|n-a-n^-0|d-oo-z^-2|
มอริเอนเตส	m-@@-z^-0|r-i-z^-3|z-ee-n^-0|t-ee-t^-3|
เอนเตส	z-ee-n^-0|t-ee-t^-2|
รีลมาดริด	r-ii-l^-0|m-aa-t^-3|dr-i-t^-1|
ทริสตัน	thr-i-t^-3|t-a-n^-0|
อภิปราย	z-a-z^-1|ph-i-z^-3|pr-aa-j^-0|
เยิ่น	j-qq-n^-2|
เย้อ	j-qq-z^-3|
เพรสทรัสต์	phr-ee-s^-3|thr-a-s^-3|
ตึ๋ง	t-v-ng^-4|
ตะแกรง	t-a-z^-1|kr-xx-ng^-0|
ผลุบผลุบโผล่โผล่	phl-u-p^-1|phl-u-p^-1|phl-oo-z^-1|phl-oo-z^-1|
อ๋อย	z-@@-j^-4|
กรึงไกร	kr-v-ng^-0|kr-a-j^-0|
อะไหล่	z-a-z^-1|l-a-j^-1|
พลาสม่า	phl-aa-s^-3|m-aa-z^-2|
เกลียว	kl-iia-w^-0|
กลีบ	kl-ii-p^-1|
ปล้อง	pl-@@-ng^-2|
สลด	s-a-z^-0|l-o-t^-1|
ขั้นนี้	kh-a-n^-2|n-ii-z^-3|
น้ำเปล่า	n-a-m^-3|pl-a-w^-1|
มะชี่	m-a-z^-3|ch-ii-z^-2|
บริวเวอรี่	br-i-w^-0|w-qq-z^-0|r-ii-z^-2|
ขวัญใจ	khw-a-n^-4|c-a-j^-0|
ฟรอนเทียร์	fr-@@-n^-0|th-iia-z^-0|
เพลา	phl-a-w^-0|
ปริ๊นเซส	pr-i-n^-3|s-e-t^-2|
หนองปรือ	n-@@-ng^-4|pr-vv-z^-0|
มือหวย	m-vv-z^-0|h-uua-j^-4|
เนือง	n-vva-ng^-0|
เรสโตรรอง	r-ee-s^-3|t-oo-z^-0|r-@@-ng^-0|
มีตั๋ว	m-ii-z^-0|t-uua-z^-4|
แอร์คราฟท์	z-xx-z^-0|khr-aa-f^-3|
เสียมราฐ	s-iia-m^-4|r-aa-t^-2|
ติ๊ก	t-i-k^-3|
ผด	ph-o-t^-1|
ผื่น	ph-vv-n^-1|
เกร็ง	kr-e-ng^-0|
หวาดหวั่น	w-aa-t^-1|w-a-n^-1|
เครื่องคอม	khr-vva-ng^-2|kh-@@-m^-0|
เครื่องเสียง	khr-vva-ng^-2|s-iia-ng^-4|
ท่าตะโก	th-aa-z^-2|t-a-z^-1|k-oo-z^-0|
ป๋อ	p-@@-z^-4|
ท่าเกวียน	th-aa-z^-2|kw-iia-n^-0|
เอ๊ะ	z-e-z^-3|
หลู	l-uu-z^-4|
อยู่ๆ	j-uu-z^-1|j-uu-z^-1|
เอ้	z-ee-z^-2|
นั่งดู	n-a-ng^-2|d-uu-z^-0|
มือป๊อก	m-vv-z^-0|p-@@-k^-3|
จ๊อด	c-@@-t^-3|
ปู้ยี่ปู้ยำ	p-uu-z^-2|j-ii-z^-2|p-uu-z^-2|j-a-m^-0|
ประถม	pr-a-z^-1|th-o-m^-4|
อ่วม	z-uua-m^-1|
เทื้อน	th-vva-n^-3|
ทรงเงินดี	s-o-ng^-0|ng-q-n^-0|d-ii-z^-0|
ซื่อ	s-vv-z^-2|
พ่อครัว	ph-@@-z^-2|khr-uua-z^-0|
บ่อเกลือ	b-@@-z^-1|kl-vva-z^-0|
เที่ยวเตร่	th-iia-w^-2|tr-ee-z^-1|
ขิ่นยุ้นต์	kh-i-n^-1|j-u-z^-3|
ได้รู้	d-a-j^-2|r-uu-z^-3|
อัฟกัน	z-a-f^-3|k-a-n^-0|
แน่นอน	n-xx-z^-2|n-@@-n^-0|
สองแคว	s-@@-ng^-4|khw-xx-z^-0|
หลิน	l-i-n^-4|
โป้ง	p-oo-ng^-2|
ฟาก	f-aa-k^-2|
สีกัน	s-ii-z^-4|k-a-n^-0|
สีคิ้ว	s-ii-z^-4|kh-i-w^-3|
ปุ๊	p-u-z^-3|
งด	ng-o-t^-3|
ส่าหรี	s-aa-z^-1|r-ii-z^-4|
ฟ้าพราว	f-aa-z^-3|phr-aa-w^-0|
เชิ้ต	ch-qq-t^-3|
จิ้งจก	c-i-ng^-2|c-o-k^-1|
มือแฝง	m-vv-z^-0|f-xx-ng^-4|
ชง	ch-o-ng^-0|
โปร	pr-oo-z^-0|
สื่อผสม	s-vv-z^-1|ph-a-z^-1|s-o-m^-4|
เสี่ยงหยง	s-iia-ng^-1|j-o-ng^-4|
โค้วเจริญ	khw-oo-z^-3|c-a-z^-1|r-qq-n^-0|
ตู๋	t-uu-z^-4|
ปิ๋ว	p-i-w^-4|
หัวไทร	h-uua-z^-4|s-a-j^-0|
ต่วน	t-uua-n^-1|
หมงเทอะ	m-o-ng^-4|th-q-z^-3|
เจือหินแก้ว	c-vva-z^-0|h-i-n^-4|k-xx-w^-2|
โคอ็อปเปอเรท	kh-oo-z^-0|z-@-p^-3|p-qq-z^-0|r-e-t^-1|
เปือยน้อย	p-vva-j^-0|n-@@-j^-3|
แกละ	kl-x-z^-1|
เก๊า	k-a-w^-3|
กระดาน	kr-a-z^-1|d-aa-n^-0|
หงา	ng-aa-z^-4|
บุญเสนอ	b-u-n^-0|s-a-z^-1|n-qq-z^-4|
ฉุด	ch-u-t^-1|
เอสโฟโต้	z-ee-s^-3|f-oo-z^-0|t-oo-z^-2|
หัวใส	h-uua-z^-4|s-a-j^-4|
มือแบงก์	m-vv-z^-0|b-x-ng^-3|
เห่กล่อม	h-ee-z^-1|kl-@@-m^-1|
ถี่	th-ii-z^-1|
พรหมจรรย์	phr-o-m^-0|m-a-z^-0|c-a-n^-0|
เอือม	z-vva-m^-0|
โควตา	khw-oo-z^-0|t-aa-z^-0|
เครื่องเรือ	khr-vva-ng^-2|r-vva-z^-0|
แฟร์	f-xx-z^-0|
ฉัน	ch-a-n^-4|
ลน	l-o-n^-0|
อัลตร้าซาวด์	z-a-l^-0|tr-aa-z^-2|s-aa-w^-0|
เธเรสแมรี่	th-ee-z^-0|r-ee-s^-3|m-xx-z^-0|r-ii-z^-2|
ธารน้ำกว้าง	th-aa-n^-0|n-a-m^-3|kw-aa-ng^-2|
ตื๊อ	t-vv-z^-3|
แคว้น	khw-xx-n^-3|
หล่อน	l-@-n^-1|
กรด	kr-o-t^-1|
เปรียว	pr-iia-w^-0|
ดึ๋ง	d-v-ng^-4|
โซ่ตรวน	s-oo-z^-2|tr-uua-n^-0|
พรหมินทร์	phr-o-m^-0|m-i-n^-0|
เตี้ยง	t-iia-ng^-2|
เวชภัณฑ์	w-ee-t^-2|ch-a-z^-0|ph-a-n^-0|
เยาวราช	j-a-w^-0|w-a-z^-0|r-aa-t^-2|
ทั้งสิ้น	th-a-ng^-3|s-i-n^-2|
พันธนาการ	ph-a-n^-0|th-a-z^-3|n-aa-z^-0|k-aa-n^-0|
อิฐบล็อก	z-i-t^-1|bl-@-k^-1|
เอื้อ	z-vva-z^-2|
แม่พันธุ์	m-xx-z^-2|ph-a-n^-0|
โดเบอร์แมน	d-oo-z^-0|b-qq-z^-0|m-xx-n^-0|
โธ่	th-oo-z^-2|
โง่เง่า	ng-oo-z^-2|ng-a-w^-2|
หอพัก	h-@@-z^-4|ph-a-k^-3|
บ้านแพรก	b-aa-n^-2|phr-xx-k^-2|
เฉไฉ	ch-ee-z^-4|ch-a-j^-4|
เขว้า	khw-a-w^-2|
ฟิลลิปส์	f-i-l^-0|l-i-p^-1|
คอฟฟีช็อป	kh-@@-f^-3|f-ii-z^-2|ch-@-p^-1|
ฮ	h-@@-z^-0|
ป้า	p-aa-z^-2|
เตป	t-ee-p^-1|
ยุ่น	j-u-n^-2|
ซัดดัม	s-a-t^-3|d-a-m^-0|
ตัวปลอม	t-uua-z^-0|pl-@@-m^-0|
คลินตัน	khl-i-n^-0|t-a-n^-2|
กว้างขวาง	kw-aa-ng^-2|khw-aa-ng^-4|
หวังบุญเกิด	w-a-ng^-4|b-u-n^-0|k-qq-t^-1|
พรีเซนต์	phr-ii-z^-0|s-ee-n^-0|
สุคิริน	s-u-z^-1|kh-i-z^-0|r-i-n^-0|
โฮเต็ล	h-oo-z^-0|t-e-l^-0|
เหลือเฟือ	l-vva-z^-4|f-vva-z^-0|
กฎหมาย	k-o-t^-1|m-aa-j^-4|
แบรนด์เนม	br-xx-n^-0|n-ee-m^-0|
ทีเอพี	th-ii-z^-0|z-ee-z^-0|ph-ii-z^-0|
เฮลิคอปเตอร์	h-ee-z^-0|l-i-z^-3|kh-@@-p^-2|t-qq-z^-0|
เซฟเฮาส์	s-ee-f^-3|h-a-w^-3|
พะงัน	ph-a-z^-0|ng-a-n^-0|
เฮี้ยน	h-iia-n^-3|
ฮาย	h-aa-j^-0|
พ้อ	ph-@@-z^-3|
ดินเนอร์	d-i-n^-0|n-qq-z^-0|
หูเบา	h-uu-z^-4|b-a-w^-0|
ต้องผ่าตัด	t-@@-ng^-2|ph-aa-z^-1|t-a-t^-1|
พริบตา	phr-i-p^-3|t-aa-z^-0|
ณัฐวุฒิ	n-a-t^-3|th-a-z^-0|w-u-t^-3|
ยอดฮิต	j-@@-t^-2|h-i-t^-3|
คาสโนวา	kh-aa-s^-3|s-a-z^-0|n-oo-z^-0|w-aa-z^-2|
ดิสเครดิต	d-i-s^-3|khr-ee-z^-0|d-i-t^-1|
ประเวศ	pr-a-z^-1|w-ee-t^-2|
สื่อกลาง	s-vv-z^-1|kl-aa-ng^-0|
ท่านหญิง	th-aa-n^-2|j-i-ng^-4|
แลนด์ครุยเซอร์	l-xx-n^-0|khr-u-j^-0|s-qq-z^-0|
ฝ	f-@@-z^-4|
ป๊ามี	p-aa-z^-3|m-ii-z^-0|
กึ๋น	k-v-n^-4|
ชีค	ch-ii-k^-3|
สุไลมาน	s-u-z^-1|l-a-j^-0|m-aa-n^-0|
อีงประเสริฐ	z-ii-ng^-0|pr-a-z^-1|s-qq-t^-1|
ซีดี	s-ii-z^-0|d-ii-z^-0|
ซ้ง	s-o-ng^-3|
เชาว์	ch-a-w^-0|
ฟาสต์ฟู้ด	f-aa-s^-3|f-uu-t^-3|
ป้อแป้	p-@@-z^-2|p-xx-z^-2|
เอี๊ยบตงจั่น	z-iia-p^-3|t-o-ng^-0|c-a-n^-1|
พรหมมุนี	phr-o-m^-0|m-u-z^-3|n-ii-z^-0|
ขอทาน	kh-@@-z^-4|th-aa-n^-0|
อิศริยา	z-i-t^-1|s-a-z^-0|r-i-z^-0|j-aa-z^-0|
อสังหาริมทรัพย์	z-a-z^-0|s-a-ng^-4|h-aa-z^-4|r-i-m^-0|m-a-z^-0|s-a-p^-3|
อาวาจิ	z-aa-z^-0|w-aa-z^-0|c-i-z^-1|
ฮาวาย	h-aa-z^-0|w-aa-j^-0|
เหลายา	l-a-w^-4|j-aa-z^-0|
หมายเกาะ	m-aa-j^-4|k-@-z^-1|
ลิบง	l-i-z^-3|b-o-ng^-0|
มุก	m-u-k^-3|
เภตรา	ph-ee-z^-0|tr-aa-z^-0|
บริติช	br-i-z^-3|t-i-ch^-3|
คราม	khr-aa-m^-0|
ฮ็อคแอ็ค	h-@-k^-3|z-x-k^-1|
อุตุ	z-u-z^-1|t-u-z^-1|
ครึ้ม	khr-v-m^-3|
แถบ	th-xx-p^-1|
บางคอแหลม	b-aa-ng^-0|kh-@@-z^-0|l-xx-m^-4|
บางกรวย	b-aa-ng^-0|kr-uua-j^-0|
แม่เฒ่า	m-xx-z^-2|th-a-w^-2|
มารยาท	m-aa-z^-0|r-a-z^-3|j-aa-t^-2|
นักเซิ้ง	n-a-k^-3|s-qq-ng^-3|
ท็อปฮิต	th-@-p^-3|h-i-t^-3|
บรอดคาสติ้ง	br-@@-t^-1|kh-aa-s^-3|t-i-ng^-2|
ประชาสัมพันธ์	pr-a-z^-1|ch-aa-z^-0|s-a-m^-4|ph-a-n^-0|
หัวเสีย	h-uua-z^-4|s-iia-z^-4|
บ่น	b-o-n^-1|
น่าเบื่อ	n-aa-z^-2|b-vva-z^-1|
มั่วซั่ว	m-uua-z^-2|s-uua-z^-2|
โฉมฉาย	ch-oo-m^-4|ch-aa-j^-4|
เลิศอมราภรณ์	l-qq-t^-2|z-a-m^-0|m-a-z^-0|r-aa-z^-0|ph-@@-n^-0|
เจ๊าะแจ๊ะ	c-@-z^-3|c-x-z^-3|
ประเดี๋ยว	pr-a-z^-1|d-iia-w^-4|
แย้มหรั่งทรัพย์	j-xx-m^-3|r-a-ng^-1|s-a-p^-3|
ฉันทนา	ch-a-n^-4|th-a-z^-3|n-aa-z^-0|
อุ้มผาง	z-u-m^-2|ph-aa-ng^-4|
ทมิฬ	th-a-z^-0|m-i-n^-0|
มรณะ	m-@@-z^-0|r-a-z^-0|n-a-z^-3|
ขยี้	kh-a-z^-1|j-ii-z^-2|
บรอนซ์	br-@@-n^-0|
กรวด	kr-uua-t^-1|
หัวเฉียว	h-uua-z^-4|ch-iia-w^-4|
ดุลเลาะห์	d-u-l^-0|l-@-z^-3|
ศรีเฟื่องฟุ้ง	s-ii-z^-4|f-vva-ng^-2|f-u-ng^-3|
แล	l-xx-z^-0|
หน่าย	n-aa-j^-1|
ก่อเกียรติ	k-@@-z^-1|k-iia-t^-1|
จันทรโสภาคย์	c-a-n^-0|th-a-z^-0|r-a-z^-3|s-oo-z^-4|ph-aa-k^-2|
ริเวอร์ไซด์	r-i-z^-3|w-qq-z^-2|s-a-j^-3|
แกะดำ	k-x-z^-1|d-a-m^-0|
ได๋	d-a-j^-4|
จ๊กตง	c-o-k^-3|t-o-ng^-0|
เนอร์สซิ่ง	n-qq-s^-3|s-i-ng^-2|
ปลอด	pl-@@-t^-1|
เร่	r-ee-z^-2|
ฮู้	h-uu-z^-3|
เต็นท์	t-e-n^-3|
ฟานเมียร์เฮิรตซ์	f-aa-n^-0|m-iia-z^-0|h-qq-t^-3|
